Unnamed: 0,id,user_id,título,descripcion,categoria_id,precio(€),imagenes,reservado,localización,golpe,reacondicionado,url_producto,posibilidad_envio
0,e658d1l0wg6o,w67d4e81p96x,Ps5,"
Ps5 version lector, con poco uso
funciona perfecta
incluye todos sus cables , mando y caja. 

vendo por comprar la ps5 pro
trato en mano",24200,320.0,[],False,Sanlúcar de Barrameda,none,False,https://es.wallapop.com/item/ps5-1064874748,False
1,pj9m02lx3m6e,ke65q4emkp6o,Xbox cristal Green edición limitada muy nueva ,Xbox edición verde trasparente cristal Green con 2 mandos y cables esta en muy buen estado nunca abierta y funcionando perfectamente difícil de encontrar y en tan buen estado precio 350 euros ultimo precio o cambio por ps5 de disco mas 50 euros a su favor no hago envios,24200,350.0,[],False,Madrid,none,False,https://es.wallapop.com/item/xbox-cristal-green-edicion-limitada-muy-nueva-1064867861,False
2,qjw4gwn2nwzo,mznl0kwmg0jn,Ps5 lector ,Ps5 de lector total mente nueva aún obteniendo su gran periodo de garantía sus 825 GB que incluyen con juego incluido mando todo correctamente,24200,285.0,[],False,Córdoba,none,False,https://es.wallapop.com/item/ps5-lector-1064867105,True
3,wzy4g1gmppz5,dqjw0xo28e6o,pack ps4 pro,"🔥ps4 pro en perfecto estado
👑Mandos, juegos y volante incluido
✅Con todos sus cables para conectar
🔋La play llega a 2160p (calidad)
🚀Juego disney infinity 2.0 con muchas figuras y mundos, todo con su placa
🏅1TB de almacenamiento
Cajas incluidas

Cualquier pregunta no dudes en contactarme.  Precio negociable







ps5,ps4,ps3,ps vita, ps4 pro, juegos, sony, consola, gta,read dead, uncharted , fifa, 2k",24200,250.0,[],False,Playa de Daimus,none,False,https://es.wallapop.com/item/pack-ps4-pro-1064861968,True
4,8j34kwk1e769,nz0mylmqkejo,Playstation 5,"Memoria RAM de 16 GB.
En perfecto estado, único dueño
Sin ningún detalle
Se vende por renovación
Incluye un control original y cables",24200,310.0,[],False,Murcia,none,False,https://es.wallapop.com/item/playstation-5-1064859382,True
5,w674nonovw6x,nz0m4kmkldjo,PS5,PS5 prácticamente nueva con casi un mes de uso solo la vendo porque con el trabajo no tenía tiempo para jugar y al final me acabé comprando un pc y no la uso ,24200,350.0,[],False,Isla Cristina,none,False,https://es.wallapop.com/item/ps5-1064858852,True
6,8j34kwkdey69,pzp9rpyyel63,Base Fantec CSL DD Pro 5nm - Leer descripc,Vendo base fanatec dd pro 5 nm. Tiene el conector del freno averiado (conector suelto). Para PC funciona sin problemas porque los pedales se pueden conectar al pc. Y si eres un manitas o sabes dónde te lo pueden reparar también te valdría para PS,24200,250.0,[],False,Donostia-San Sebastián,none,False,https://es.wallapop.com/item/base-fantec-csl-dd-pro-5nm-leer-descripc-1064858210,True
7,wzy4g1ggq2z5,36ew5495rv6d,Playstation 5 COMO NUEVA CON LECTOR,"Se vende Playstation 5 con lector. Muy poco uso. La vendo porque me la regalaron y no le doy provecho. Urge la venta, por eso está tan barata. Preguntad sin compromiso",24200,335.0,[],False,Alcalá de Henares,none,False,https://es.wallapop.com/item/playstation-5-como-nueva-con-lector-1064856620,False
8,3zl8p2p8d86x,npj94wg4em6e,PS5 Disco + Dualsense V2 Rojo + Juego,"Se vende PS5 con lector de discos con dualsense version 2 en color rojo y el juego exclusivo de PS5 Forspoken precintado. No envio, se puede probar antes de comprar para ver que todo funciona correctamente",24200,350.0,[],False,Priego de Córdoba,none,False,https://es.wallapop.com/item/ps5-disco---dualsense-v2-rojo---juego-1064852021,False
9,pj9m02qp226e,9nz08wvlpv6o,PS5 Disco Play 5 de 1TB nueva,"
Ofrecemos PlayStation 5 versión Disco de Sony, disponible en blanco. El equipo es NUEVO, incluye caja, cables, 2 mandos y accesorios completos. Contamos con varias unidades con batería al 100% y una garantía de 2 años. Aceptamos devoluciones hasta 15 días. Precio fijo, sin negociaciones. Realizamos envíos gestionados directamente por nosotros y pagos seguros fuera de plataformas. Apreciamos su tiempo. Contáctenos para una atención rápida, directa y confiable.",24200,329.79,[],False,Valencia,none,False,https://es.wallapop.com/item/ps5-disco-play-5-de-1tb-nueva-1064844713,True
